id,name,slug,featured_image
253,Active Beach Games,active-beach-games,
186,Activewear,activewear,
265,Air Fryer / Toaster Ovens,air-fryer-toaster-ovens,
146,All-Purpose Cleaners,all-purpose-cleaners,
49,Almost no Plastic,almost-no-plastic,
234,Appetizer Plates,appetizer-plates,
108,Area Rugs,area-rugs,
73,Backpacks &amp; Bags,backpacks-bags,
61,Bakeware,bakeware,
281,Baking Sheets &amp; Trays,baking-sheets-trays,
192,Barefoot &amp; Minimalist Shoes,barefoot-minimalist-shoes,
164,Basics (Underwear &amp; Sock),basics-underwear-sock,
170,Basics (Underwear &amp; Sock),basics-underwear-sock-eco-womens-clothing,
111,Bath Rugs,bath-rugs,
322,Bath Towels,bath-towels,
148,Bathroom Cleaners,bathroom-cleaners,
196,Beach Accessories,beach-accessories,
248,Beach Blankets / Throws,beach-blankets-throws,
197,Beach Blankets &amp; Towels,beach-blankets-towels,
195,Beach Footwear,beach-footwear,
254,Beach Tables,beach-tables,
325,Beach Towels,beach-towels-towels-linens,
255,Beach Towels,beach-towels,
201,Beach Toys,beach-toys,
245,Beach Umbrellas / Shade,beach-umbrellas-shade,
327,Bed Pillows,bed-pillows-pillows-inserts,
91,Bed Pillows,bed-pillows,
54,Bedding,bedding,
143,Belts,belts,
87,Blankets &amp; Quilts,blankets-quilts,
269,Blenders,blenders,
131,Body Lotions &amp; Oils,body-lotions-oils,
330,Body Pillows,body-pillows,
134,Body Scrubs &amp; Exfoliators,body-scrubs-exfoliators,
130,Body Wash &amp; Soaps,body-wash-soaps,
250,Body Wipes,body-wipes,
80,Bottoms,bottoms,
161,Bottoms,bottoms-eco-mens-clothing,
166,Bottoms,bottoms-eco-womens-clothing,
152,Bowls &amp; Feeders,bowls-feeders,
229,Bread Baskets,bread-baskets,
295,Bread Boxes,bread-boxes,
283,Bread Loaf Pans,bread-loaf-pans,
251,Bug Balm / Repellent,bug-balm-repellent,
284,Cake Pans &amp; Bundt Pans,cake-pans-bundt-pans,
232,Cake Stands,cake-stands,
288,Can &amp; Bottle Openers,can-bottle-openers,
76,Changing Essentials,changing-essentials,
230,Charcuterie Boards,charcuterie-boards,
238,Chargers,chargers,
257,Charging Stations / Dock Organizers,charging-stations-dock-organizers,
101,Cleaning Brushes,cleaning-brushes,
102,Cleaning Cloths,cleaning-cloths,
65,Cleaning Supplies,cleaning-supplies,
150,Cleaning Tools &amp; Brushes,cleaning-tools-brushes,
135,Cleansers,cleansers,
338,Cloth Laundry Bags,cloth-laundry-bags,
260,Coasters,coasters,
171,Coffee,coffee,
67,Coffee &amp; Tea,coffee-tea,
261,Coffee Table Trays,coffee-table-trays,
174,Cold Cups &amp; Lids,cold-cups-lids,
239,Collapsible Cooler / Lunch Bags,collapsible-cooler-lunch-bags,
211,Comfort &amp; Shade,comfort-shade,
88,Comforters &amp; Duvet Inserts,comforters-duvet-inserts,
320,Comforters &amp; Quilts,comforters-quilts,
314,Compostable Pods,compostable-pods,
179,Compostable Trash Bags,compostable-trash-bags,
127,Conditioners,conditioners,
60,Cookware,cookware,
209,Coolers &amp; Food Storage,coolers-food-storage,
200,Coolers &amp; Ice Packs,coolers-ice-packs,
336,Cotton Blankets,cotton-blankets,
226,Cotton Plate Dividers,cotton-plate-dividers,
301,Countertop Caddies,countertop-caddies,
74,Crib Bedding,crib-bedding,
259,Curtains,curtains,
289,Cutting Boards,cutting-boards,
272,Decorations,decorations,
205,Decorative Baskets,decorative-baskets,
132,Deodorants,deodorants,
278,Diffusers / Scent Sticks,diffusers-scent-sticks,
275,Dinner Napkins,dinner-napkins,
119,Dinnerware,dinnerware,
225,Dinnerware Sets,dinnerware-sets,
236,Dip Bowls / Ramekins,dip-bowls,
98,Dish &amp; Dishwasher Soaps,dish-dishwasher-soaps,
304,Dish Towels &amp; Drying Mats,dish-towels-drying-mats,
110,Door Mats,door-mats,
299,Drawer Dividers,drawer-dividers,
81,Dresses,dresses,
167,Dresses,dresses-eco-womens-clothing,
120,Drinkware,drinkware,
293,Dry Goods Jars,dry-goods-jars,
117,Dryer Alternatives,dryer-alternatives,
339,Dryer Balls,dryer-balls,
319,Duvet Covers,duvet-covers-bedding,
89,Duvet Covers,duvet-covers,
193,Eco Workout Wipes &amp; Sprays,eco-workout-wipes-sprays,
185,ECO-Beach,eco-beach,
207,ECO-Beach Essentials,eco-beach-essentials,
184,ECO-Sports,eco-sports,
267,Electric / Gooseneck Kettles,electric-gooseneck-kettles,
116,Fabric Softeners (Plant-Based Only),fabric-softeners-plant-based-only,
141,Face Cleaning Tools,face-cleaning-tools,
305,Fire Blankets,fire-blankets,
306,First Aid Items,first-aid-items,
316,Fitted Sheets,fitted-sheets,
317,Flat Sheets,flat-sheets,
121,Flatware &amp; Serving,flatware-serving,
147,Floor &amp; Surface Cleaners,floor-surface-cleaners,
247,Foldable Beach Chairs,foldable-beach-chairs,
208,Food &amp; Drink,food-drink,
63,Food Storage &amp; Pantry,food-storage-pantry,
177,Food Storage Wraps,food-storage-wraps,
178,Freezer &amp; Storage Bags,freezer-storage-bags,
310,French Presses,french-presses,
296,Fruit &amp; Veggie Keepers,fruit-veggie-keepers,
212,Fun Beach Extras,fun-beach-extras,
94,Garden Tools &amp; Accessories,garden-tools-accessories,
210,Gear &amp; Carriers,gear-carriers,
104,Glass Storage &amp; Pantry Jars,glass-storage-pantry-jars,
292,Glass Storage Containers,glass-storage-containers,
287,"Graters, Peelers &amp; Zesters",graters-peelers-zesters,
231,Gravy Boats,gravy-boats,
157,Grooming &amp; Bath,grooming-bath,
129,Hair Accessories,hair-accessories,
128,Hair Treatments &amp; Oils,hair-treatments-oils,
125,Hairbrushes &amp; Combs,hairbrushes-combs,
337,Hamper Liners,hamper-liners,
271,Hand Blenders,hand-blenders,
323,Hand Towels,hand-towels,
175,Hot Cups &amp; Lids,hot-cups-lids,
142,Hygiene,hygiene,
241,Ice Packs,ice-packs,
220,Individual Pots &amp; Pans – Frying Pan,individual-pots-pans-frying-pan,
222,Individual Pots &amp; Pans – Griddle,individual-pots-pans-griddle,
223,Individual Pots &amp; Pans – Paella Pan,individual-pots-pans-paella-pan,
218,Individual Pots &amp; Pans – Saucepan,individual-pots-pans-saucepan,
219,Individual Pots &amp; Pans – Sauté Pan,individual-pots-pans-saute-pan,
221,Individual Pots &amp; Pans – Wok,individual-pots-pans-wok,
203,Indoor Rugs,indoor-rugs,
270,Juicers,juicers,
311,Kettles,kettles,
100,Kitchen Cleaning Sprays,kitchen-cleaning-sprays,
264,Kitchen Gadgets,kitchen-gadgets,
112,Kitchen Rugs,kitchen-rugs,
290,Kitchen Scissors &amp; Shears,kitchen-scissors-shears,
326,Kitchen Towels,kitchen-towels,
298,Label Makers &amp; Tags,label-makers-tags,
115,Laundry Boosters &amp; Stain Removers,laundry-boosters-stain-removers,
114,Laundry Detergents,laundry-detergents,
149,Laundry Essentials,laundry-essentials,
59,Laundry Linens,laundry-linens,
118,Laundry Tools &amp; Accessories,laundry-tools-accessories,
300,Lazy Susans,lazy-susans,
153,"Leashes, Collars &amp; Harnesses",leashes-collars-harnesses,
333,Lightweight Throws,lightweight-throws,
252,Lip Balm with SPF,lip-balm-with-spf,
140,Lip Care,lip-care,
72,Lunch &amp; Snack Containers,lunch-snack-containers,
139,Masks &amp; Exfoliators,masks-exfoliators,
321,Mattress Protectors,mattress-protectors,
332,Mattress Toppers,mattress-toppers,
90,"Mattress, Protectors &amp; Pads",mattress-protectors-pads,
57,Mattresses &amp; Toppers,mattresses-toppers,
244,Mesh Wet Clothing Beach Bags,mesh-wet-clothing-beach-bags,
268,Milk Frother / Steamer,milk-frother-steamer,
285,Mixing Bowls &amp; Measuring Tools,mixing-bowls-measuring-tools,
138,Moisturizers,moisturizers,
282,Muffin Tins,muffin-tins,
276,Napkin Rings,napkin-rings,
181,Napkins &amp; Towels (Single Use),napkins-towels-single-use,
256,Natural Fiber Indoor Rugs,natural-fiber-indoor-rugs,
309,Natural Insect Repellents,natural-insect-repellents,
331,Natural Mattresses,natural-mattresses,
308,Non-Toxic Odor Neutralizers,non-toxic-odor-neutralizers,
69,Notebooks &amp; Paper,notebooks-paper,
77,Nursery Décor,nursery-decor,
64,Organizing &amp; Labels,organizing-labels,
97,Outdoor Décor,outdoor-decor,
113,Outdoor Rugs,outdoor-rugs,
82,Outerwear,outerwear,
162,Outerwear,outerwear-eco-mens-clothing,
168,Outerwear,outerwear-eco-womens-clothing,
297,Pantry Baskets &amp; Bins,pantry-baskets-bins,
71,Pencil Cases &amp; Organizers,pencil-cases-organizers,
158,Pet Apparel &amp; Accessories,pet-apparel-accessories,
155,Pet Beds &amp; Blankets,pet-beds-blankets,
151,Pet Food &amp; Treats,pet-food-treats,
159,Pet Health &amp; Supplements,pet-health-supplements,
154,Pet Toys,pet-toys,
199,Picnic Gear,picnic-gear,
318,Pillowcases,pillowcases,
56,Pillows &amp; Inserts,pillows-inserts,
235,Pitchers,pitchers,
274,Placemats / Runners,placemats-runners,
302,Plant-Based Dish Soaps &amp; Cleaners,plant-based-dish-soaps-cleaners,
93,Planters &amp; Pots,planters-pots,
107,Plastic-Free on the Go,plastic-free-on-the-go,
176,Plates &amp; Bowls,plates-bowls,
224,Pot &amp; Pan Organizers,pot-pan-organizers,
215,Pot &amp; Pan Sets – Cast Iron,pot-pan-sets-cast-iron,
213,Pot &amp; Pan Sets – Ceramic,pot-pan-sets-ceramic,
217,Pot &amp; Pan Sets – Die-Cast Aluminum,pot-pan-sets-die-cast-aluminum,
214,Pot &amp; Pan Sets – Stainless Steel,pot-pan-sets-stainless-steel,
216,Pot &amp; Pan Sets – Titanium,pot-pan-sets-titanium,
258,Power &amp; Charging Gear,power-charging-gear,
144,Purses,purses,
249,Reef-Safe Mineral Sunscreen,reef-safe-mineral-sunscreen,
312,Reusable Filters,reusable-filters,
202,Rinse-Off Kits,rinse-off-kits,
53,Robes &amp; Bath TP &amp; Tissue,robes-bath-tp-tissue,
109,Runner Rugs,runner-rugs,
66,Safety &amp; Prep,safety-prep,
237,Salad Servers,salad-servers,
180,Sandwich &amp; Snack Bags,sandwich-snack-bags,
303,Scrub Brushes &amp; Sponges,scrub-brushes-sponges,
99,Scrubbers &amp; Sponges,scrubbers-sponges,
95,"Seeds, Soil &amp; Growing Supplies",seeds-soil-growing-supplies,
137,Serums &amp; Treatments,serums-treatments,
279,Serveware,serveware-eco-dinning,
85,Serveware,serveware,
228,Serving Bowls,serving-bowls,
124,Serving Pieces,serving-pieces,
126,Shampoos,shampoos,
52,Shaving &amp; Grooming,shaving-grooming,
133,Shaving &amp; Grooming (Body),shaving-grooming-body,
315,Sheet Sets,sheet-sets,
86,Sheets &amp; Pillowcases,sheets-pillowcases,
262,Side Tables / TV Trays,side-tables-tv-trays,
190,Skateboards &amp; Cruisers,skateboards-cruisers,
83,Sleepwear,sleepwear,
163,Sleepwear,sleepwear-eco-mens-clothing,
169,Sleepwear,sleepwear-eco-womens-clothing,
286,"Spatulas, Spoons &amp; Tongs",spatulas-spoons-tongs,
307,Splatter Guards,splatter-guards,
191,Sport Bags &amp; Gym Totes,sport-bags-gym-totes,
188,Sports Bras &amp; Leggings,sports-bras-leggings,
242,Stainless Drinkware,stainless-drinkware,
105,Stainless Steel Containers &amp; Lunchboxes,stainless-steel-containers-lunchboxes,
240,Stainless Steel Food Containers,stainless-steel-food-containers,
78,Storage &amp; Organization,storage-organization,
340,Storage &amp; Organization,storage-organization-eco-bedroom,
204,Storage Baskets,storage-baskets,
182,Straws,straws,
198,Sun Protection,sun-protection,
75,Swaddles &amp; Blankets,swaddles-blankets,
194,Swimwear,swimwear,
273,Table Decorations,table-decorations-decorations,
123,Table Decorations,table-decorations,
122,Table Linens,table-linens,
277,Tablecloths,tablecloths,
233,Taco Holders,taco-holders,
172,Tea,tea,
313,Tea Infusers,tea-infusers,
291,Thermometers &amp; Timers,thermometers-timers,
243,Thermos (Coffee / Tea),thermos-coffee-tea,
329,Throw Pillow Inserts,throw-pillow-inserts,
328,Throw Pillows,throw-pillows,
58,Throws &amp; Blankets,throws-blankets,
92,Throws &amp; Decorative Pillows,throws-decorative-pillows,
266,Toasters,toasters,
136,Toners &amp; Mists,toners-mists,
79,Tops,tops,
160,Tops,tops-eco-mens-clothing,
165,Tops,tops-eco-womens-clothing,
55,Towels &amp; Linens,towels-linens,
103,Trash Bags &amp; Liners,trash-bags-liners,
246,Turkish / Hemp-Cotton Towels,turkish-hemp-cotton-towels,
84,Underwear &amp; Sock,underwear-sock,
173,Utensils &amp; Cutlery,utensils-cutlery,
62,Utensils &amp; Tools,utensils-tools,
206,Wall Hangings,wall-hangings,
145,Wallets,wallets,
324,Washcloths,washcloths,
156,Waste Bags &amp; Litter,waste-bags-litter,
96,Watering &amp; Composting,watering-composting,
263,Weighted Arm Napkin Holders,weighted-arm-napkin-holders,
334,Weighted Blankets,weighted-blankets,
280,Wine Decanters,wine-decanters,
335,Wool Blankets,wool-blankets,
189,Workout Gear,workout-gear,
106,Wraps &amp; Sandwich Bags,wraps-sandwich-bags,
70,Writing Tools,writing-tools,
227,Yacht Serving / Platters,yacht-serving-platters,
187,Yoga &amp; Pilates,yoga-pilates,
294,Zip-Free Silicone Bags,zip-free-silicone-bags,
